"DR_Number","Date_Reported","Date_Occurred","Time_Occurred","Area_ID","Area_Name","Reporting_District_Num","Priority_Code","Crime_Code","Crime_Code_Description","MO_Codes","Victim_Age","Victim_Sex","Victim_Descent","Premise_Code","Premise_Description","Weapon_Used_Code","Weapon_Description","Status_Code","Status_Description","Crime_Address","Cross_Street","latitude","longitude"
190508494,"2019-04-12","2019-04-12",2100,5,"Harbor",551,2,626,"INTIMATE PARTNER - SIMPLE ASSAULT","2000 1814 0400",33,"M","W",501,"SINGLE FAMILY DWELLING","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other","1200    BIG CANYON                   PL","N/A",33.7393,-118.302
191714499,"2019-08-21","2019-05-29",900,17,"Devonshire",1725,2,354,"THEFT OF IDENTITY","1822 0930",63,"F","W",501,"SINGLE FAMILY DWELLING","N/A","N/A","IC","Invest Cont","19900    LUBAO                        PL","N/A",34.2588,-118.568
190404956,"2019-01-23","2019-01-23",2035,4,"Hollenbeck",491,1,761,"BRANDISH WEAPON","334",38,"F","H",123,"PARKING UNDERGROUND/BUILDING","207","OTHER KNIFE","IC","Invest Cont","1100 S  BOYLE                        AV","N/A",34.0289,-118.221
191113278,"2019-07-08","2019-07-06",243,11,"Northeast",1127,2,940,"EXTORTION","0443 0422",73,"F","H",501,"SINGLE FAMILY DWELLING","511","VERBAL THREAT","IC","Invest Cont","6100    ROY                          ST","N/A",34.1227,-118.186
191104715,"2019-01-14","2019-01-13",1100,11,"Northeast",1143,1,480,"BIKE - STOLEN","344",37,"M","W",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","N/A","N/A","IC","Invest Cont","1900    TALMADGE                     ST","N/A",34.1054,-118.283
191516778,"2019-09-03","2019-08-31",2300,15,"N Hollywood",1541,1,310,"BURGLARY","1609 0321 1414",52,"M","W",501,"SINGLE FAMILY DWELLING","N/A","N/A","IC","Invest Cont","12700    OTSEGO                       ST","N/A",34.1631,-118.409
191825235,"2019-12-19","2019-12-19",150,18,"Southeast",1871,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","0329 1307",22,"M","H",122,"VEHICLE, PASSENGER/TRUCK","N/A","N/A","IC","Invest Cont","700 W  140TH                        ST","N/A",33.9046,-118.287
191015436,"2019-09-24","2019-09-23",1300,10,"West Valley",1029,1,330,"BURGLARY FROM VEHICLE","1822 1302 0344",23,"F","H",101,"STREET","N/A","N/A","IC","Invest Cont","6900    HASKELL                      AV","N/A",34.1957,-118.475
190117846,"2019-07-08","2019-07-08",1030,1,"Central",185,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD","1813 1814 2004",17,"F","H",123,"PARKING UNDERGROUND/BUILDING","N/A","N/A","AO","Adult Other","1200    MAPLE                        AV","N/A",34.0388,-118.257
190127604,"2019-11-20","2019-11-20",1830,1,"Central",158,1,330,"BURGLARY FROM VEHICLE","0344 1822 1300 1607",48,"M","H",101,"STREET","N/A","N/A","IC","Invest Cont","600    KOHLER                       ST","N/A",34.0394,-118.241
191604426,"2019-01-12","2019-01-11",1714,16,"Foothill",1677,1,320,"BURGLARY, ATTEMPTED","1501",50,"M","O",501,"SINGLE FAMILY DWELLING","N/A","N/A","AO","Adult Other","7900    GLENOAKS                     BL","N/A",34.2149,-118.351
190215856,"2019-08-03","2019-08-03",2240,2,"Rampart",269,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","0447 0361 0913",39,"F","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","212","BOTTLE","AO","Adult Other","700    HARTFORD                     AV","N/A",34.0522,-118.267
191006023,"2019-02-14","2019-02-14",1710,10,"West Valley",1047,2,624,"BATTERY - SIMPLE ASSAULT","1402 0400 0447",39,"M","W",402,"MARKET","500","UNKNOWN WEAPON/OTHER WEAPON","IC","Invest Cont","17600    BURBANK                      BL","N/A",34.1723,-118.516
190316304,"2019-07-07","2019-07-07",1040,3,"Southwest",397,2,626,"INTIMATE PARTNER - SIMPLE ASSAULT","1309 2000 0416 0446 1813 1814 1243 1310 1312",23,"F","B",101,"STREET","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AA","Adult Arrest","MARTIN LUTHER KING JR        BL","BUDLONG                      AV",34.0109,-118.296
191317622,"2019-08-28","2019-08-28",1915,13,"Newton",1303,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","1218 1100 0430 1309 0334 0913 1206",39,"M","H",108,"PARKING LOT","103","RIFLE","IC","Invest Cont","1100    MAPLE                        AV","N/A",34.0371,-118.255
191222032,"2019-09-05","2019-09-05",1600,12,"77th Street",1259,1,420,"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","344",19,"F","B",101,"STREET","N/A","N/A","IC","Invest Cont","7600 S  SAN PEDRO                    ST","N/A",33.9713,-118.27
191705829,"2019-02-10","2019-02-10",400,17,"Devonshire",1761,1,330,"BURGLARY FROM VEHICLE","1609 1307 0344 0352 0216 1309",25,"M","W",108,"PARKING LOT","N/A","N/A","IC","Invest Cont","9600    OWENSMOUTH                   AV","N/A",34.2447,-118.602
192119343,"2019-12-02","2019-11-18",1,21,"Topanga",2111,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","344",56,"M","H",501,"SINGLE FAMILY DWELLING","N/A","N/A","AO","Adult Other","7800    WOODLAKE                     AV","N/A",34.2119,-118.632
191224089,"2019-10-05","2019-10-05",800,12,"77th Street",1249,2,624,"BATTERY - SIMPLE ASSAULT","0445 0416",47,"F","H",222,"LAUNDROMAT","500","UNKNOWN WEAPON/OTHER WEAPON","IC","Invest Cont","6200 S  FIGUEROA                     ST","N/A",33.9833,-118.283
190618142,"2019-08-30","2019-08-27",2200,6,"Hollywood",668,1,330,"BURGLARY FROM VEHICLE","0344 0329 1609",36,"F","W",101,"STREET","N/A","N/A","IC","Invest Cont","N  ARGYLE                       AV","VINE                         ST",34.0944,-118.312
190809983,"2019-05-19","2019-05-18",2000,8,"West LA",853,2,624,"BATTERY - SIMPLE ASSAULT","1309 0216 1823 0510 0400 1218",31,"F","B",108,"PARKING LOT","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont","11300    SANTA MONICA                 BL","N/A",34.0465,-118.448
190711498,"2019-06-01","2019-06-01",1000,7,"Wilshire",727,1,330,"BURGLARY FROM VEHICLE","1300 1307 0321 1402 1414",48,"F","W",102,"SIDEWALK","N/A","N/A","IC","Invest Cont","100 N  CITRUS                       AV","N/A",34.0736,-118.34
190807484,"2019-03-21","2019-03-11",5,8,"West LA",832,2,901,"VIOLATION OF RESTRAINING ORDER","0913 1210 2038",43,"M","W",203,"OTHER BUSINESS","N/A","N/A","AO","Adult Other","11600    WILSHIRE                     BL","N/A",34.0511,-118.464
190126779,"2019-11-07","2019-11-07",1800,1,"Central",156,2,626,"INTIMATE PARTNER - SIMPLE ASSAULT","1814 2000 0416 2004 1218",53,"F","B",101,"STREET","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont","6TH","CROCKER",34.0437,-118.245
200104953,"2020-01-13","2020-01-13",1900,1,"Central",185,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","1414 0416 0445 2002 1266 1822",54,"M","H",403,"DRUG STORE","500","UNKNOWN WEAPON/OTHER WEAPON","IC","Invest Cont","1000 S  BROADWAY","N/A",34.0409,-118.257
190127778,"2019-11-22","2019-06-11",1800,1,"Central",111,1,440,"THEFT PLAIN - PETTY ($950 & UNDER)","0344 1607 1822",23,"M","O",717,"HEALTH SPA/GYM","N/A","N/A","IC","Invest Cont","500 N  FIGUEROA                     ST","N/A",34.0617,-118.247
190718480,"2019-10-23","2019-10-21",1059,7,"Wilshire",779,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD","1501",26,"F","H",501,"SINGLE FAMILY DWELLING","N/A","N/A","IC","Invest Cont","3400    VENICE                       BL","N/A",34.0436,-118.321
190218532,"2019-09-17","2019-09-16",1510,2,"Rampart",236,2,624,"BATTERY - SIMPLE ASSAULT","2021 0319 0444 1822",34,"F","H",101,"STREET","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont","100 S  BURLINGTON                   AV","N/A",34.065,-118.267
190307986,"2019-03-03","2019-03-03",1610,3,"Southwest",353,2,624,"BATTERY - SIMPLE ASSAULT","1822 1202 2048 0910 0416 0446 0305",63,"F","H",948,"MTA - EXPO LINE - FARMDALE","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont","4400    EXPOSITION                   BL","N/A",34.0237,-118.344
190624154,"2019-12-23","2019-12-18",1528,6,"Hollywood",648,2,625,"OTHER ASSAULT","0400 0416 0444",62,"M","W",203,"OTHER BUSINESS","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont","5600    HOLLYWOOD                    BL","N/A",34.1017,-118.311
190321392,"2019-09-24","2019-09-01",1200,3,"Southwest",376,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","0344 0352",45,"F","H",501,"SINGLE FAMILY DWELLING","N/A","N/A","IC","Invest Cont","1300 W  38TH                         ST","N/A",34.0173,-118.3
190819476,"2019-12-11","2019-12-11",1230,8,"West LA",855,2,624,"BATTERY - SIMPLE ASSAULT","0400 0416 0444",32,"M","W",102,"SIDEWALK","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont","1600    WESTWOOD                     BL","N/A",34.0529,-118.44
191822761,"2019-11-06","2019-11-06",1700,18,"Southeast",1824,2,626,"INTIMATE PARTNER - SIMPLE ASSAULT","2000 1814 0448 0444",34,"F","H",501,"SINGLE FAMILY DWELLING","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AA","Adult Arrest","600 E  COLDEN                       AV","N/A",33.9493,-118.265
190416781,"2019-11-11","2019-11-11",1700,4,"Hollenbeck",449,2,930,"CRIMINAL THREATS - NO WEAPON DISPLAYED","0416 0421",42,"F","H",102,"SIDEWALK","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AA","Adult Arrest","1000    DUNDAS                       ST","N/A",34.0497,-118.196
191505407,"2019-01-28","2019-01-28",1600,15,"N Hollywood",1583,1,815,"SEXUAL PENETRATION W/FOREIGN OBJECT","0500 1402 0522 0515 1822 1219 1415",39,"M","W",718,"MASSAGE PARLOR","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other","11800    VENTURA                      BL","N/A",34.1451,-118.387
191401051,"2019-11-13","2019-11-12",2115,14,"Pacific",1409,1,210,"ROBBERY","0344 1402 0913 1820 0446 0429 2002 1206 0400",33,"M","H",102,"SIDEWALK","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other","8900    VENICE                       BL","N/A",34.0294,-118.388
190810068,"2019-05-21","2019-05-21",1250,8,"West LA",884,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","1251 0329",26,"M","B",122,"VEHICLE, PASSENGER/TRUCK","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont","11200 W  PICO                         BL","N/A",34.0362,-118.437
190607575,"2019-03-04","2019-02-19",1000,6,"Hollywood",625,2,649,"DOCUMENT FORGERY / STOLEN FELONY","923",54,"M","O",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","N/A","N/A","IC","Invest Cont","6700    HILLPARK                     DR","N/A",34.1173,-118.338
201106278,"2020-02-20","2019-08-04",1330,11,"Northeast",1172,1,761,"BRANDISH WEAPON","0334 0913",26,"M","H",501,"SINGLE FAMILY DWELLING","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont","1400    SILVER LAKE                  BL","N/A",34.0848,-118.271
191707931,"2019-03-27","2019-03-27",2110,17,"Devonshire",1795,2,946,"OTHER MISCELLANEOUS CRIME","1402",27,"M","O",101,"STREET","N/A","N/A","IC","Invest Cont","SHOSHONE                     AV","PARTHENIA                    ST",34.2248,-118.515
191808292,"2019-03-14","2019-03-14",1558,18,"Southeast",1824,2,900,"VIOLATION OF COURT ORDER","1202 2000 1813 2038",60,"F","B",501,"SINGLE FAMILY DWELLING","N/A","N/A","AO","Adult Other","10300    AVALON                       BL","N/A",33.9431,-118.265
191221993,"2019-09-01","2019-09-01",2325,12,"77th Street",1267,2,237,"CHILD NEGLECT (SEE 300 W.I.C.)","1258 1251 0602 1310 1240 2002",8,"M","H",101,"STREET","N/A","N/A","AA","Adult Arrest","MANCHESTER                   BL","FIGUEROA",33.9601,-118.283
191213490,"2019-05-13","2019-05-13",830,12,"77th Street",1283,2,626,"INTIMATE PARTNER - SIMPLE ASSAULT","2000 1814 0416 0305 0417 0419 0329 0421",27,"M","B",501,"SINGLE FAMILY DWELLING","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont","9400    LA SALLE                     AV","N/A",33.9511,-118.306
190500805,"2019-06-27","2019-06-27",1625,5,"Harbor",526,1,310,"BURGLARY","0345 0344 0329 2004",55,"M","W",501,"SINGLE FAMILY DWELLING","N/A","N/A","IC","Invest Cont","600    LAGOON                       AV","N/A",33.7768,-118.267
192110295,"2019-05-20","2019-05-20",5,21,"Topanga",2104,2,626,"INTIMATE PARTNER - SIMPLE ASSAULT","2000 0448",36,"F","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont","8900    TOPANGA CANYON               BL","N/A",34.2315,-118.603
191617628,"2019-12-12","2019-12-11",2230,16,"Foothill",1676,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","1300 0329 0311 1822 1307",40,"M","O",122,"VEHICLE, PASSENGER/TRUCK","N/A","N/A","IC","Invest Cont","WHEATLAND","GLENOAKS",34.2249,-118.362
191307908,"2019-03-13","2019-03-11",800,13,"Newton",1317,1,330,"BURGLARY FROM VEHICLE","0344 1300",25,"M","W",101,"STREET","N/A","N/A","IC","Invest Cont","1300 E  15TH                         ST","N/A",34.0272,-118.248
191419521,"2019-09-05","2019-09-04",2130,14,"Pacific",1457,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","329",36,"F","W",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","N/A","N/A","AA","Adult Arrest","4600    STONER                       AV","N/A",33.9953,-118.415
192115434,"2019-09-08","2019-09-08",1240,21,"Topanga",2187,2,624,"BATTERY - SIMPLE ASSAULT","1218 2004 0416",38,"M","O",101,"STREET","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont","DE SOTO","VENTURA                      FY",34.168,-118.588
192117721,"2019-10-26","2019-10-26",1920,21,"Topanga",2156,1,343,"SHOPLIFTING-GRAND THEFT ($950.01 & OVER)","325",50,"M","W",404,"DEPARTMENT STORE","N/A","N/A","AA","Adult Arrest","21900    VANOWEN                      ST","N/A",34.1938,-118.604
190319425,"2019-08-26","2019-08-26",2035,3,"Southwest",399,2,900,"VIOLATION OF COURT ORDER","2038 0913",26,"F","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","N/A","N/A","IC","Invest Cont","4100 S  FIGUEROA                     ST","N/A",34.0094,-118.283
191411425,"2019-04-29","2019-04-25",1800,14,"Pacific",1494,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","1822 0344",58,"M","H",212,"TRANSPORTATION FACILITY (AIRPORT)","N/A","N/A","IC","Invest Cont","400    WORLD                        WY","N/A",33.9433,-118.407
190306792,"2019-02-13","2019-02-13",930,3,"Southwest",397,2,624,"BATTERY - SIMPLE ASSAULT","0329 0416 0446 2024 0562 1402",36,"F","B",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","500","UNKNOWN WEAPON/OTHER WEAPON","JA","Juv Arrest","1100 W  42ND                         ST","N/A",34.0073,-118.294
190304464,"2019-01-08","2019-01-07",2000,3,"Southwest",314,1,330,"BURGLARY FROM VEHICLE","1609 1307 0329 0377 0344",23,"M","H",101,"STREET","N/A","N/A","IC","Invest Cont","3300 W  ADAMS                        BL","N/A",34.0327,-118.32
191107872,"2019-03-21","2019-03-21",1155,11,"Northeast",1151,2,662,"BUNCO, GRAND THEFT","0344 0701",26,"F","W",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","N/A","N/A","IC","Invest Cont","1600 N  MARIPOSA                     AV","N/A",34.1,-118.299
191919595,"2019-11-20","2019-11-20",2000,19,"Mission",1959,1,220,"ATTEMPTED ROBBERY","2004 2001 1402 0334 0337",48,"M","O",202,"LIQUOR STORE","102","HAND GUN","AA","Adult Arrest","14000    VAN NUYS                     BL","N/A",34.2546,-118.438
191921142,"2019-12-28","2019-12-28",1215,19,"Mission",1967,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","0302 0443 0554 0334 0906 0913",34,"M","H",501,"SINGLE FAMILY DWELLING","109","SEMI-AUTOMATIC PISTOL","AO","Adult Other","9500    URBANA                       AV","N/A",34.2422,-118.435
190208083,"2019-03-15","2019-03-15",900,2,"Rampart",275,1,210,"ROBBERY","0344 1822 0216 0432 0334 1251 1259 0337",16,"M","O",102,"SIDEWALK","219","SCREWDRIVER","IC","Invest Cont","JAMES M WOOD                 BL","WESTLAKE",34.0529,-118.278
191905142,"2019-01-25","2019-01-25",130,19,"Mission",1925,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","329",31,"M","A",122,"VEHICLE, PASSENGER/TRUCK","N/A","N/A","IC","Invest Cont","12600    SAN FERNANDO                 RD","N/A",34.2986,-118.458
191521212,"2019-11-28","2019-11-27",1500,15,"N Hollywood",1527,1,440,"THEFT PLAIN - PETTY ($950 & UNDER)","344",50,"M","H",402,"MARKET","N/A","N/A","IC","Invest Cont","11000    VICTORY                      BL","N/A",34.1867,-118.37
191604775,"2019-01-22","2019-01-20",1530,16,"Foothill",1687,2,354,"THEFT OF IDENTITY","0930 1822",40,"F","O",101,"STREET","N/A","N/A","AA","Adult Arrest","SUNLAND                      BL","SAN FERNANDO                 RD",34.2191,-118.369
191319914,"2019-10-04","2019-10-04",2300,13,"Newton",1395,1,210,"ROBBERY","0344 0421 1402 1309",37,"M","H",102,"SIDEWALK","219","SCREWDRIVER","IC","Invest Cont","6700 S  SAN PEDRO                    ST","N/A",33.9788,-118.27
192109109,"2019-04-24","2019-04-23",1430,21,"Topanga",2175,1,310,"BURGLARY","1602 0344",50,"M","W",120,"STORAGE SHED","N/A","N/A","IC","Invest Cont","5800    SHOUP                        AV","N/A",34.1756,-118.615
191814364,"2019-06-13","2019-06-03",1600,18,"Southeast",1842,2,930,"CRIMINAL THREATS - NO WEAPON DISPLAYED","1258 0443",10,"M","H",108,"PARKING LOT","511","VERBAL THREAT","AO","Adult Other","100 W  108TH                        ST","N/A",33.9383,-118.274
192011393,"2019-05-30","2019-05-30",1130,20,"Olympic",2014,2,626,"INTIMATE PARTNER - SIMPLE ASSAULT","2000 1814 0444 0432",48,"F","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other","200 S  HARVARD                      BL","N/A",34.0712,-118.304
191011796,"2019-07-02","2019-07-02",1400,10,"West Valley",1049,1,210,"ROBBERY","1218",39,"F","W",109,"PARK/PLAYGROUND","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont","BALBOA","VICTORY",34.1757,-118.485
191209366,"2019-03-19","2019-03-19",1300,12,"77th Street",1213,2,626,"INTIMATE PARTNER - SIMPLE ASSAULT","2000 1814 1276 0448 0408 0319",30,"F","B",501,"SINGLE FAMILY DWELLING","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont","1600 W  57TH                         ST","N/A",33.9906,-118.304
191618148,"2019-12-29","2019-12-29",1219,16,"Foothill",1684,2,624,"BATTERY - SIMPLE ASSAULT","0416 0417",48,"F","B",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other","7800    SIMPSON                      AV","N/A",34.2121,-118.389
191411300,"2019-04-29","2019-04-29",2200,14,"Pacific",1494,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","0344 0381",29,"M","B",212,"TRANSPORTATION FACILITY (AIRPORT)","N/A","N/A","AA","Adult Arrest","200    WORLD WAY","N/A",33.9449,-118.406
190418096,"2019-12-16","2019-12-15",500,4,"Hollenbeck",424,1,420,"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","344",59,"M","B",123,"PARKING UNDERGROUND/BUILDING","N/A","N/A","IC","Invest Cont","3800 N  MISSION                      RD","N/A",34.0693,-118.2
190619274,"2019-09-18","2019-09-18",1235,6,"Hollywood",663,1,440,"THEFT PLAIN - PETTY ($950 & UNDER)","344",38,"M","B",203,"OTHER BUSINESS","N/A","N/A","IC","Invest Cont","SANTA MONICA","MC CADDEN",34.0907,-118.337
192010677,"2019-05-14","2019-05-14",150,20,"Olympic",2027,1,352,"PICKPOCKET","344",36,"M","B",101,"STREET","N/A","N/A","AA","Adult Arrest","VERMONT                      AV","6TH                          ST",34.0637,-118.292
190619287,"2019-09-18","2019-09-14",30,6,"Hollywood",632,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","0444 0416",32,"M","A",108,"PARKING LOT","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont","8100 W  SUNSET                       BL","N/A",34.098,-118.365
191210384,"2019-03-29","2019-03-29",200,12,"77th Street",1268,2,626,"INTIMATE PARTNER - SIMPLE ASSAULT","2000 1813 0344 0448 0416",21,"F","B",101,"STREET","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other","MANCHESTER","BROADWAY",33.9601,-118.278
192112068,"2019-06-28","2019-06-27",1200,21,"Topanga",2177,2,354,"THEFT OF IDENTITY","1822 0930",64,"F","O",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","N/A","N/A","IC","Invest Cont","21900    BURBANK                      BL","N/A",34.172,-118.605
200106226,"2020-02-02","2020-02-01",2220,1,"Central",171,2,624,"BATTERY - SIMPLE ASSAULT","0419 1822",36,"F","H",735,"NIGHT CLUB (OPEN EVENINGS ONLY)","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont","800 W  OLYMPIC                      BL","N/A",34.045,-118.264
191229615,"2019-12-24","2019-12-23",1530,12,"77th Street",1257,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","329",43,"F","H",122,"VEHICLE, PASSENGER/TRUCK","N/A","N/A","IC","Invest Cont","FLOWER","77TH",33.9699,-118.281
190611096,"2019-05-03","2019-05-03",1455,6,"Hollywood",647,1,330,"BURGLARY FROM VEHICLE","0329 0344 1307 1609",39,"M","H",101,"STREET","N/A","N/A","IC","Invest Cont","EL CENTRO","HOLLYWOOD                    BL",34.1017,-118.324
190314887,"2019-06-15","2019-06-11",2000,3,"Southwest",397,2,354,"THEFT OF IDENTITY","0100 0922 0930 1822",40,"F","B",501,"SINGLE FAMILY DWELLING","N/A","N/A","IC","Invest Cont","4200    WALTON                       AV","N/A",34.0073,-118.295
