DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA ,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm_Cd1,Crm_Cd2,Crm_Cd3,Crm_Cd4,LOCATION,Cross Street,LAT,LON
192109916,5/11/2019 0:00,5/11/2019 0:00,1200,21,Topanga,2157,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0447 0416 1814,24,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",306,ROCK/THROWN OBJECT,AA,Adult Arrest,626,,,,6700    VARIEL                       AV,,34.1921,-118.5928
191411195,4/27/2019 0:00,4/26/2019 0:00,1925,14,Pacific,1485,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),0344 1251,19,F,W,203,OTHER BUSINESS,,,IC,Invest Cont,331,,,,8600 S  SEPULVEDA                    BL,,33.9579,-118.402
191220555,8/13/2019 0:00,8/12/2019 0:00,2100,12,77th Street,1245,1,330,BURGLARY FROM VEHICLE,0344 0321 1607,30,F,B,101,STREET,,,IC,Invest Cont,330,,,,1000 W  65TH                         ST,,33.9806,-118.2918
191717661,11/7/2019 0:00,11/6/2019 0:00,1730,17,Devonshire,1792,1,310,BURGLARY,0344 1202,61,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,8400    MELVIN                       AV,,34.2226,-118.5601
190700945,9/28/2019 0:00,9/26/2019 0:00,1200,7,Wilshire,785,1,121,"RAPE, FORCIBLE",0500 1206 0413 0522 0527 1402 1218,27,F,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121,998,,,23RD                         ST,WEST                         BL,34.0361,-118.3392
190115983,6/14/2019 0:00,6/14/2019 0:00,1400,1,Central,152,1,350,"THEFT, PERSON",0344 0346,24,F,W,102,SIDEWALK,,,IC,Invest Cont,350,,,,500 S  OLIVE                        ST,,34.0495,-118.2529
191520085,11/3/2019 0:00,11/3/2019 0:00,1635,15,N Hollywood,1547,1,440,THEFT PLAIN - PETTY ($950 & UNDER),344,30,F,H,222,LAUNDROMAT,,,IC,Invest Cont,440,,,,5200    TUJUNGA                      AV,,34.1673,-118.3816
192116486,9/30/2019 0:00,8/12/2019 0:00,1800,21,Topanga,2146,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1501,46,F,H,501,SINGLE FAMILY DWELLING,,,AO,Adult Other,956,,,,6800    ALABAMA                      AV,,34.1938,-118.599
191315145,7/17/2019 0:00,7/17/2019 0:00,1630,13,Newton,1307,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),329,32,F,B,101,STREET,,,IC,Invest Cont,745,,,,7TH,TOWNE,34.0396,-118.2451
190612096,5/19/2019 0:00,5/14/2019 0:00,900,6,Hollywood,622,1,310,BURGLARY,0400 0329 1307 1609 2000,68,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,740,,,2100    OUTPOST                      DR,,34.1146,-118.3607
190309466,3/24/2019 0:00,3/22/2019 0:00,1900,3,Southwest,328,1,310,BURGLARY,1601 1251 0344,25,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AA,Adult Arrest,310,,,,700 W  27TH                         ST,,34.0278,-118.2783
190608384,3/19/2019 0:00,2/24/2019 0:00,1400,6,Hollywood,657,2,649,DOCUMENT FORGERY / STOLEN FELONY,1822 0924,0,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,649,,,,1000 N  WESTERN                      AV,,34.0888,-118.3124
191011900,7/6/2019 0:00,7/6/2019 0:00,610,10,West Valley,1031,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 0906 1218 0216 1402 1414 0342,38,M,H,101,STREET,102,HAND GUN,AA,Adult Arrest,230,,,,VICTORY                      BL,TAMPA                        AV,34.1866,-118.5535
191223884,10/2/2019 0:00,10/2/2019 0:00,900,12,77th Street,1268,1,310,BURGLARY,0400 2038 0561 0329 0913,44,F,H,501,SINGLE FAMILY DWELLING,,,AA,Adult Arrest,310,,,,100 E  85TH                         ST,,33.961,-118.2739
192116045,9/21/2019 0:00,9/20/2019 0:00,1930,21,Topanga,2158,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,21200    VICTORY                      BL,,34.1884,-118.5944
191418165,8/15/2019 0:00,8/12/2019 0:00,1300,14,Pacific,1431,2,354,THEFT OF IDENTITY,1822,24,M,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,200    HORIZON                      AV,,33.9894,-118.4721
190908365,3/26/2019 0:00,3/25/2019 0:00,855,9,Van Nuys,974,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0378 0325,0,X,X,403,DRUG STORE,,,IC,Invest Cont,442,,,,14700    VENTURA                      BL,,34.1547,-118.453
190130249,12/28/2019 0:00,12/28/2019 0:00,136,1,Central,182,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1822 0344,30,M,H,101,STREET,,,IC,Invest Cont,341,,,,11TH                         ST,HILL                         ST,34.0405,-118.2604
191115687,8/27/2019 0:00,8/27/2019 0:00,750,11,Northeast,1146,2,624,BATTERY - SIMPLE ASSAULT,0906 0416 0429,25,M,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,2800    KNOX                         AV,,34.1019,-118.2451
190711152,5/25/2019 0:00,5/24/2019 0:00,1745,7,Wilshire,765,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344 1300,34,F,O,108,PARKING LOT,,,IC,Invest Cont,420,,,,4500 W  PICO                         BL,,34.0485,-118.3335
191909503,4/26/2019 0:00,4/25/2019 0:00,1200,19,Mission,1985,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 2032,45,M,F,210,RESTAURANT/FAST FOOD,,,IC,Invest Cont,440,,,,14400    ROSCOE                       BL,,34.2264,-118.4493
190811672,6/24/2019 0:00,6/24/2019 0:00,1200,8,West LA,853,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1822,0,X,X,710,OTHER PREMISE,,,IC,Invest Cont,440,,,,11300    SANTA MONICA                 BL,,34.0465,-118.4484
191414677,6/22/2019 0:00,6/22/2019 0:00,1040,14,Pacific,1412,2,624,BATTERY - SIMPLE ASSAULT,0444 0400,64,M,O,108,PARKING LOT,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,300    OCEAN FRONT                  WK,,33.9933,-118.4765
192107543,3/21/2019 0:00,3/20/2019 0:00,2330,21,Topanga,2189,1,330,BURGLARY FROM VEHICLE,344,27,M,O,108,PARKING LOT,,,IC,Invest Cont,330,,,,20600    VENTURA                      BL,,34.1679,-118.5804
192118009,11/3/2019 0:00,11/3/2019 0:00,1516,21,Topanga,2156,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 1402,50,M,W,404,DEPARTMENT STORE,,,IC,Invest Cont,442,998,,,21900    VANOWEN                      ST,,34.1938,-118.6044
190513771,8/8/2019 0:00,8/8/2019 0:00,1245,5,Harbor,558,2,625,OTHER ASSAULT,0919 0319 1822 1309 0356,14,F,H,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,625,,,,GAFFEY                       ST,10TH                         ST,33.7489,-118.2798
190128952,12/10/2019 0:00,12/10/2019 0:00,800,1,Central,154,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1814 0447 0416,57,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,626,,,,500 S  MAIN                         ST,,34.0467,-118.2485
191908749,4/10/2019 0:00,4/5/2019 0:00,1548,19,Mission,1983,1,440,THEFT PLAIN - PETTY ($950 & UNDER),344,47,M,H,225,RECORD-CD MUSIC/COMPUTER GAME STORE,,,IC,Invest Cont,440,,,,15200    ROSCOE                       BL,,34.2249,-118.4637
191228825,12/12/2019 0:00,12/11/2019 0:00,1700,12,77th Street,1263,1,820,ORAL COPULATION,1309 0408 0913 1305,44,F,B,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,820,,,,DENKER                       AV,84TH                         ST,33.9627,-118.3047
190900721,7/1/2019 0:00,6/30/2019 0:00,420,9,Van Nuys,943,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",344,48,M,H,217,AUTO REPAIR SHOP,,,IC,Invest Cont,341,,,,14400    OXNARD                       ST,,34.1794,-118.4465
201709553,12/12/2019 0:00,12/11/2019 0:00,2050,17,Devonshire,1754,2,946,OTHER MISCELLANEOUS CRIME,,0,X,X,725,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",,,IC,Invest Cont,946,,,,10200    ETIWANDA                     AV,,34.2555,-118.5323
191319574,9/28/2019 0:00,9/28/2019 0:00,2130,13,Newton,1377,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",329,38,M,B,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,,,,5500    FORTUNA                      ST,,33.993,-118.2455
190113418,5/8/2019 0:00,2/16/2019 0:00,2100,1,Central,121,1,330,BURGLARY FROM VEHICLE,1307 0344,24,M,W,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,330,,,,DIAMOND                      ST,FIGUEROA,34.0589,-118.2527
191610115,6/10/2019 0:00,6/10/2019 0:00,400,16,Foothill,1612,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1218 1313 1100 0430,36,M,H,102,SIDEWALK,102,HAND GUN,IC,Invest Cont,230,,,,GLENOAKS                     BL,PAXTON                       ST,34.2797,-118.418
190505759,2/9/2019 0:00,2/9/2019 0:00,30,5,Harbor,501,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,18600 S  VERMONT                      AV,,33.862,-118.2906
190719403,11/12/2019 0:00,11/11/2019 0:00,1900,7,Wilshire,774,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1700 S  LA BREA                      AV,,34.0442,-118.346
190718794,10/31/2019 0:00,10/3/2019 0:00,1300,7,Wilshire,722,1,440,THEFT PLAIN - PETTY ($950 & UNDER),344,56,M,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,440,,,,100 N  ORLANDO                      AV,,34.0746,-118.3731
190404767,1/19/2019 0:00,1/18/2019 0:00,2100,4,Hollenbeck,473,1,330,BURGLARY FROM VEHICLE,1302 0344,49,M,H,101,STREET,,,IC,Invest Cont,330,,,,6TH,BREED,34.0381,-118.215
191412372,5/16/2019 0:00,5/15/2019 0:00,843,14,Pacific,1407,2,354,THEFT OF IDENTITY,377,31,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,3600    HUGHES                       AV,,34.0252,-118.4041
190519227,12/11/2019 0:00,12/5/2019 0:00,700,5,Harbor,528,2,624,BATTERY - SIMPLE ASSAULT,0409 1261 0552 0913 1251,22,M,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,1100 E  YOUNG                        ST,,33.7865,-118.2495
192110417,5/22/2019 0:00,5/22/2019 0:00,900,21,Topanga,2126,1,440,THEFT PLAIN - PETTY ($950 & UNDER),344,42,F,H,222,LAUNDROMAT,,,AO,Adult Other,440,,,,21300    SATICOY                      ST,,34.2136,-118.5912
190809559,5/10/2019 0:00,4/28/2019 0:00,1800,8,West LA,806,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,2000    STRADELLA                    RD,,34.1088,-118.4618
190122258,9/3/2019 0:00,3/6/2019 0:00,1,1,Central,155,2,845,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,1501,0,X,X,726,POLICE FACILITY,,,IC,Invest Cont,845,,,,200 E  6TH                          ST,,34.0448,-118.2474
190818192,11/12/2019 0:00,10/24/2019 0:00,1200,8,West LA,849,2,662,"BUNCO, GRAND THEFT",701,53,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,662,,,,1100 S  CORNING                      ST,,34.0572,-118.3773
191808270,3/13/2019 0:00,3/13/2019 0:00,1620,18,Southeast,1836,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,1206 2000 0416 1814,26,M,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,10500    COMPTON                      AV,,33.9383,-118.2494
190517924,11/7/2019 0:00,11/3/2019 0:00,2300,5,Harbor,551,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,400    MIRALESTE                    DR,,33.7413,-118.3196
190813257,7/26/2019 0:00,7/26/2019 0:00,1100,8,West LA,832,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1822,0,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,740,,,,11400    SAN VICENTE                  BL,,34.0508,-118.4592
191515732,8/15/2019 0:00,8/15/2019 0:00,1515,15,N Hollywood,1585,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1402,67,F,W,102,SIDEWALK,,,AA,Adult Arrest,341,998,,,KLUMP,AQUA VISTA,34.145,-118.3757
190620966,10/20/2019 0:00,10/20/2019 0:00,2200,6,Hollywood,666,1,330,BURGLARY FROM VEHICLE,0329 0344 1307 1609,31,M,W,101,STREET,,,IC,Invest Cont,330,,,,SUNSET                       BL,IVAR                         AV,34.098,-118.3295
190805670,2/8/2019 0:00,2/7/2019 0:00,1900,8,West LA,853,1,330,BURGLARY FROM VEHICLE,1251 1307 1609 0344 1822 1402,26,M,W,123,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,330,998,,,1800    PURDUE                       AV,,34.0428,-118.4481
191912894,7/5/2019 0:00,7/3/2019 0:00,1900,19,Mission,1982,2,624,BATTERY - SIMPLE ASSAULT,0400 0417,49,M,O,108,PARKING LOT,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,8600    PARTHENIA                    PL,,34.2283,-118.4631
191219989,8/1/2019 0:00,7/26/2019 0:00,500,12,77th Street,1265,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",329,58,M,B,101,STREET,,,IC,Invest Cont,740,,,,1100 W  83RD                         ST,,33.9637,-118.294
191711047,6/6/2019 0:00,3/1/2019 0:00,1500,17,Devonshire,1767,2,354,THEFT OF IDENTITY,0100 1822,30,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,9400    RESEDA                       BL,,34.241,-118.5361
190100950,10/20/2019 0:00,10/17/2019 0:00,2300,1,Central,182,1,121,"RAPE, FORCIBLE",1262 1820 0526 1206 2002 0507 0506 0503 1415 0515,21,F,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,121,,,,1100 S  GRAND                        AV,,34.0416,-118.262
191501407,12/1/2019 0:00,10/29/2019 0:00,1930,15,N Hollywood,1596,2,753,DISCHARGE FIREARMS/SHOTS FIRED,1100 1402 0329 1822,0,M,O,405,CLOTHING STORE,106,UNKNOWN FIREARM,IC,Invest Cont,753,998,,,11300    VENTURA                      BL,,34.1406,-118.376
192113548,7/29/2019 0:00,7/29/2019 0:00,1520,21,Topanga,2173,2,624,BATTERY - SIMPLE ASSAULT,0447 0444,41,F,W,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,23100    GONZALES                     DR,,34.1666,-118.6307
190220295,10/19/2019 0:00,10/17/2019 0:00,2000,2,Rampart,237,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1202 0344 0352,62,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,341,,,,100    GLENDALE                     BL,,34.0621,-118.2619
191423740,11/12/2019 0:00,11/10/2019 0:00,800,14,Pacific,1475,1,330,BURGLARY FROM VEHICLE,0344 1607,0,X,X,101,STREET,,,IC,Invest Cont,330,,,,8000    AGNEW                        AV,,33.9676,-118.4072
191412008,5/10/2019 0:00,1/17/2019 0:00,1900,14,Pacific,1456,2,354,THEFT OF IDENTITY,377,41,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,11900    COURTLEIGH                   DR,,33.9974,-118.4187
191806198,2/9/2019 0:00,2/8/2019 0:00,1900,18,Southeast,1862,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,300 W  120TH                        ST,,33.9237,-118.2782
190122992,9/6/2019 0:00,9/6/2019 0:00,116,1,Central,195,1,648,ARSON,1402,0,M,W,203,OTHER BUSINESS,,,IC,Invest Cont,648,,,,1500 S  BROADWAY,,34.0349,-118.263
190406016,2/18/2019 0:00,2/17/2019 0:00,620,4,Hollenbeck,491,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1300    RIO VISTA                    AV,,34.0265,-118.2219
190114093,5/20/2019 0:00,5/19/2019 0:00,1530,1,Central,159,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),0344 0377 1210 0345,20,F,W,101,STREET,,,IC,Invest Cont,331,,,,CONWAY,MILL,34.0387,-118.2335
190817496,10/27/2019 0:00,10/27/2019 0:00,120,8,West LA,881,2,624,BATTERY - SIMPLE ASSAULT,0913 1817 1240 0408 0419,25,F,O,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,BARRINGTON,OLYMPIC,34.0343,-118.4478
191819484,9/11/2019 0:00,9/11/2019 0:00,2216,18,Southeast,1863,1,251,SHOTS FIRED AT INHABITED DWELLING,0450 1822 0329 1402,54,F,B,501,SINGLE FAMILY DWELLING,109,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,251,998,,,400 E  118TH                        PL,,33.9256,-118.2681
191309762,4/13/2019 0:00,4/13/2019 0:00,1530,13,Newton,1351,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0913 0319 0421 0302 0432 1309,41,M,H,101,STREET,511,VERBAL THREAT,AO,Adult Other,930,,,,200 W  41ST                         PL,,34.0082,-118.2762
191915666,8/28/2019 0:00,8/28/2019 0:00,1630,19,Mission,1954,1,210,ROBBERY,344,0,M,O,404,DEPARTMENT STORE,511,VERBAL THREAT,AA,Adult Arrest,210,,,,10300 N  SEPULVEDA                    BL,,34.2573,-118.4674
190907584,3/13/2019 0:00,3/12/2019 0:00,1250,9,Van Nuys,971,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0397 0344,21,M,O,710,OTHER PREMISE,,,IC,Invest Cont,440,,,,15300    VENTURA                      BL,,34.1564,-118.463
191806508,2/13/2019 0:00,2/13/2019 0:00,1140,18,Southeast,1826,2,624,BATTERY - SIMPLE ASSAULT,0913 0416 0417,29,F,B,108,PARKING LOT,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,103RD                        ST,COMPTON                      AV,33.9433,-118.2462
192012661,6/25/2019 0:00,6/25/2019 0:00,140,20,Olympic,2083,1,210,ROBBERY,0945 0104 0216 0325 0342 0315 0371 0447 0906,0,X,X,401,MINI-MART,500,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,210,,,,1800 S  WESTERN                      AV,,34.0418,-118.309
191714501,8/18/2019 0:00,8/10/2019 0:00,1200,17,Devonshire,1775,2,649,DOCUMENT FORGERY / STOLEN FELONY,1817 0923,60,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,649,,,,17300    KNAPP                        ST,,34.2382,-118.5117
191508672,3/28/2019 0:00,3/28/2019 0:00,1640,15,N Hollywood,1585,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1202,66,M,W,202,LIQUOR STORE,,,IC,Invest Cont,440,,,,11000    VENTURA                      BL,,34.143,-118.3727
190221656,11/13/2019 0:00,11/13/2019 0:00,846,2,Rampart,295,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 2000 1814,49,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,745,,,,1300    CONSTANCE                    ST,,34.0451,-118.2779
191110221,5/9/2019 0:00,5/7/2019 0:00,1,11,Northeast,1101,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 0906,0,X,X,116,OTHER/OUTSIDE,,,IC,Invest Cont,740,,,,RIVERSIDE                    DR,ZOO                          DR,34.1549,-118.2939
190308696,3/13/2019 0:00,3/12/2019 0:00,1500,3,Southwest,343,2,946,OTHER MISCELLANEOUS CRIME,2000 1814 0911 0514 2041,26,F,B,203,OTHER BUSINESS,,,IC,Invest Cont,946,,,,3700 S  LA BREA                      AV,,34.0199,-118.3608
191825569,12/25/2019 0:00,12/24/2019 0:00,2100,18,Southeast,1846,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0913 1218 1817 0416 0445 0429,53,F,B,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,230,,,,MAIE                         ST,112TH                        ST,33.9323,-118.2502
191424166,11/18/2019 0:00,11/18/2019 0:00,415,14,Pacific,1406,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1300 0344 1606,57,M,O,123,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,420,,,,3800    MENTONE                      AV,,34.0198,-118.4049
191204201,1/4/2019 0:00,1/3/2019 0:00,2200,12,77th Street,1218,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1814 2007 1222 2047 2002,38,M,W,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,5700 S  HOOVER                       ST,,33.9905,-118.2871
191713569,8/1/2019 0:00,8/1/2019 0:00,1130,17,Devonshire,1771,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1275 0344 0398,0,X,X,702,OFFICE BUILDING/OFFICE,,,IC,Invest Cont,341,,,,20300    PLUMMER                      ST,,34.2428,-118.5754
191806617,2/14/2019 0:00,2/14/2019 0:00,1915,18,Southeast,1821,2,624,BATTERY - SIMPLE ASSAULT,0329 0408,47,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,745,,,500 W  CENTURY                      BL,,33.9456,-118.2826
190809828,5/15/2019 0:00,5/15/2019 0:00,1650,8,West LA,855,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),2004 0104 1822 0344 0325 2028,0,X,X,402,MARKET,,,IC,Invest Cont,442,,,,1500    WESTWOOD                     BL,,34.0541,-118.4407
192012229,6/16/2019 0:00,6/16/2019 0:00,430,20,Olympic,2027,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",431,25,M,W,102,SIDEWALK,512,MACE/PEPPER SPRAY,AO,Adult Other,230,,,,3300    WILSHIRE                     BL,,34.0636,-118.296
191010637,6/4/2019 0:00,4/1/2019 0:00,900,10,West Valley,1011,2,354,THEFT OF IDENTITY,0377 1822 0928,32,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,19500    SHERMAN                      WY,,34.2047,-118.5531
190605590,1/29/2019 0:00,1/23/2019 0:00,130,6,Hollywood,646,2,624,BATTERY - SIMPLE ASSAULT,0400 0419 1300 1251,23,F,W,203,OTHER BUSINESS,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,1600 N  LAS PALMAS                   AV,,34.0997,-118.3361
190514503,8/23/2019 0:00,8/23/2019 0:00,2015,5,Harbor,557,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 0302 1309 0906 0371 0312 1822,43,M,B,101,STREET,102,HAND GUN,IC,Invest Cont,230,,,,200 S  PACIFIC                      AV,,33.7412,-118.2924
191017280,11/5/2019 0:00,10/30/2019 0:00,100,10,West Valley,1033,1,210,ROBBERY,1822 1218 1206 0416 0344,27,M,W,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,RESEDA                       BL,VICTORY                      BL,34.1866,-118.536
192021208,12/10/2019 0:00,12/10/2019 0:00,930,20,Olympic,2069,1,440,THEFT PLAIN - PETTY ($950 & UNDER),2032 0344,44,F,H,402,MARKET,,,IC,Invest Cont,440,,,,1000 S  HOOVER                       ST,,34.0499,-118.2879
201404130,12/28/2019 0:00,12/25/2019 0:00,1140,14,Pacific,1494,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1822 0344,49,F,H,212,TRANSPORTATION FACILITY (AIRPORT),,,IC,Invest Cont,341,,,,200    WORLD                        WY,,33.9449,-118.4059
190314458,6/9/2019 0:00,6/9/2019 0:00,1630,3,Southwest,331,1,330,BURGLARY FROM VEHICLE,1609 0344 0329,30,M,H,101,STREET,,,IC,Invest Cont,330,,,,4900    WESTHAVEN                    ST,,34.0278,-118.3508
191815296,7/2/2019 0:00,7/2/2019 0:00,1620,18,Southeast,1835,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1822,46,F,H,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,,,,103RD,CENTRAL,33.9433,-118.2541
191206462,2/5/2019 0:00,2/5/2019 0:00,1330,12,77th Street,1267,1,210,ROBBERY,0216 0342 0305 0344 1822 0355 1309 0336,18,F,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,84TH                         ST,HOOVER                       ST,33.9625,-118.2871
190915742,8/24/2019 0:00,8/23/2019 0:00,1920,9,Van Nuys,901,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0378 0325,0,X,X,404,DEPARTMENT STORE,,,IC,Invest Cont,442,,,,7200    SEPULVEDA                    BL,,34.2085,-118.4698
191718926,11/16/2019 0:00,11/16/2019 0:00,1515,17,Devonshire,1701,2,888,TRESPASSING,1501,66,M,O,504,OTHER RESIDENCE,,,IC,Invest Cont,888,,,,11500    SANTINI                      LN,,34.2808,-118.5881
190515439,9/14/2019 0:00,9/14/2019 0:00,1700,5,Harbor,525,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,400    MCDONALD                     AV,,33.7737,-118.2711
